Site,Animal,Population,Death,Status
Dabob,245,N,4,0
Dabob,246,N,4,0
Dabob,247,N,4,0
Dabob,248,N,4,0
Dabob,249,N,4,0
Dabob,250,N,4,0
Dabob,251,N,4,0
Dabob,252,N,4,0
Dabob,253,N,4,0
Dabob,254,N,4,0
Dabob,255,N,4,0
Dabob,256,N,4,0
Dabob,257,N,4,0
Dabob,258,N,4,0
Dabob,259,N,4,0
Dabob,260,N,4,0
Dabob,261,N,4,0
Dabob,262,N,4,0
Dabob,263,N,4,0
Dabob,264,N,4,0
Dabob,265,N,4,0
Dabob,266,N,4,0
Dabob,267,N,4,0
Dabob,268,N,4,0
Dabob,269,N,4,0
Dabob,270,N,4,0
Dabob,271,N,4,0
Dabob,272,N,4,0
Dabob,273,N,5,1
Dabob,274,N,5,1
Dabob,275,N,5,1
Dabob,276,N,5,1
Dabob,277,N,5,1
Dabob,278,N,5,1
Dabob,279,N,5,1
Dabob,280,N,5,1
Dabob,281,N,5,1
Dabob,282,N,5,1
Dabob,283,N,5,1
Dabob,284,N,5,1
Dabob,285,N,5,1
Dabob,286,N,5,1
Dabob,287,N,5,1
Dabob,288,N,5,1
Dabob,289,N,5,1
Dabob,290,N,5,1
Dabob,291,N,5,1
Dabob,292,N,5,1
Dabob,293,N,5,1
Dabob,294,N,5,1
Dabob,295,N,5,1
Dabob,296,N,5,1
Dabob,297,N,5,1
Dabob,298,N,5,1
Dabob,299,N,5,1
Dabob,300,N,5,1
Dabob,301,N,5,1
Dabob,302,N,5,1
Dabob,303,N,5,1
Dabob,304,N,5,1
Dabob,305,N,5,1
Dabob,306,N,5,1
Dabob,307,N,5,1
Dabob,308,N,5,1
Dabob,309,N,5,1
Dabob,310,N,5,1
Dabob,311,N,5,1
Dabob,312,N,5,1
Dabob,313,N,5,1
Dabob,314,N,5,1
Dabob,315,N,5,1
Dabob,316,N,5,1
Dabob,317,N,5,1
Dabob,318,N,5,1
Dabob,319,N,5,1
Dabob,320,N,5,1
Dabob,321,N,5,1
Dabob,322,N,5,1
Dabob,323,N,5,1
Dabob,324,N,5,1
Dabob,325,N,5,1
Dabob,326,N,5,1
