Date,Pop,Tray,Shell Number,Drill 1 Shell,Drill 2 shell,No Drill 1,No Drill 2
1/29/2014,H,9-12,3,1,,,
1/29/2014,H,9-12,4,,,1,
1/29/2014,H,9-12,5,,,1,
1/29/2014,H,9-12,6,,,1,
1/29/2014,H,9-12,7,,,,1
1/29/2014,H,13-16,1,,1,,
1/29/2014,H,13-16,2,1,,,
1/29/2014,H,13-16,3,,,1,
1/29/2014,H,13-16,4,,,1,
1/29/2014,H,13-16,5,,,,1
1/29/2014,H,13-16,6,,,1,
1/29/2014,H,13-16,7,,,1,
1/29/2014,H,13-16,8,,,1,
1/29/2014,H,13-16,9,,,1,
1/29/2014,H,13-16,10,,,1,
1/29/2014,H,13-16,11,,,,1
1/29/2014,H,13-16,12,,,1,
1/29/2014,H,13-16,13,,,1,
1/29/2014,H,13-16,14,,,1,
4/18/2014,N,5-8,1,,1,,
4/18/2014,N,5-8,2,1,,,
4/18/2014,N,5-8,3,,,,1
4/18/2014,N,5-8,4,,,1,
4/18/2014,N,5-8,5,,,1,
4/18/2014,N,5-8,6,,,1,
4/18/2014,N,5-8,7,,,1,
4/18/2014,N,9-12,1,,,1,
4/18/2014,N,9-12,2,,,1,
4/18/2014,N,13-16,1,,1,,
4/18/2014,N,13-16,2,,1,,
4/18/2014,N,13-16,3,,1,,
4/18/2014,N,13-16,4,1,,,
4/18/2014,N,13-16,5,,1,,
4/18/2014,N,13-16,6,1,,,
4/18/2014,N,13-16,7,1,,,
4/18/2014,N,13-16,8,1,,,
4/18/2014,N,13-16,9,,,,1
4/18/2014,N,13-16,10,,,1,
4/18/2014,N,13-16,11,,,1,
4/18/2014,N,13-16,12,,,1,
4/18/2014,N,13-16,13,,,1,
4/18/2014,N,13-16,14,,,1,
4/18/2014,N,13-16,15,,,,1
4/18/2014,N,13-16,16,,,1,
4/18/2014,S,1-4,1,,,1,
4/18/2014,S,1-4,2,,,1,
4/18/2014,S,1-4,3,,,1,
4/18/2014,S,1-4,4,,,1,
4/18/2014,S,1-4,5,,,,1
4/18/2014,S,1-4,6,,,,1
4/18/2014,S,1-4,7,,,1,
4/18/2014,S,1-4,8,,,,1
4/18/2014,S,1-4,9,,,1,
4/18/2014,S,1-4,10,,,1,
4/18/2014,S,1-4,11,,,1,
4/18/2014,S,1-4,12,,,,1
4/18/2014,S,1-4,13,,,1,
4/18/2014,S,1-4,14,,,1,
4/18/2014,S,1-4,15,,,1,
4/18/2014,S,5-8,1,1,,,
4/18/2014,S,5-8,2,1,,,
4/18/2014,S,5-8,3,,,,1
4/18/2014,S,5-8,4,,,1,
4/18/2014,S,5-8,5,,,,1
4/18/2014,S,5-8,6,,,1,
4/18/2014,S,5-8,7,,,1,
4/18/2014,S,9-12,1,,1,,
4/18/2014,S,9-12,2,1,,,
4/18/2014,S,9-12,3,1,,,
4/18/2014,S,9-12,4,,,1,
4/18/2014,S,9-12,5,,,1,
4/18/2014,S,9-12,6,,,1,
4/18/2014,S,9-12,7,,,1,
4/18/2014,S,9-12,8,,,1,
4/18/2014,S,9-12,9,,,1,
4/18/2014,S,9-12,10,,,1,
4/18/2014,S,13-16,1,1,,1,
4/18/2014,S,13-16,2,,,1,
4/18/2014,S,13-16,3,,,1,
4/18/2014,S,13-16,4,,,1,
4/18/2014,S,13-16,5,,,,1
4/18/2014,S,13-16,6,,,,1
4/18/2014,S,13-16,7,,,1,
4/18/2014,H,1-4,1,,1,,
