Site,Pop,Tray,Alive,Dead
4,N,1-4,90,0
4,N,5-8,97,0
4,N,9-12,59,0
4,N,13-16,91,0
4,H,1-4,97,0
4,H,5-8,85,0
4,H,9-12,89,0
4,H,13-16,84,0
4,S,1-4,92,0
4,S,5-8,91,0
4,S,9-12,98,0
4,S,13-16,94,0
1,N,1-4,84,0
1,N,5-8,67,0
1,N,13-16,100,0
1,H,1-4,89,0
1,H,5-8,101,0
1,H,9-12,96,0
1,H,13-16,14,0
1,S,5-8,74,0
1,S,13-16,93,0
2,N,1-4,99,0
2,N,5-8,100,0
2,N,9-12,96,0
2,N,13-16,110,0
2,H,1-4,91,0
2,H,5-8,100,0
2,H,9-12,83,0
2,H,13-16,94,0
2,S,1-4,92,0
2,S,5-8,104,0
2,S,9-12,93,0
2,S,13-16,94,0
